game_id,date,home_club_id,away_club_id,homeTeamID,awayTeamID,gameID
3058555,2018-12-19,60,42,135,128,10475.0
3058554,2018-12-19,86,533,123,120,10474.0
3058551,2018-12-19,33,15,124,119,10473.0
3058556,2018-12-19,39,24,125,132,10476.0
3079511,2018-12-21,12321,3709,223,142,10122.0
3050346,2018-12-21,543,31,229,87,9367.0
3079510,2018-12-21,681,1108,140,158,10123.0
3058560,2018-12-21,16,18,129,130,10483.0
3047708,2018-12-22,618,2969,175,181,10831.0
3047709,2018-12-22,667,417,225,170,10832.0
3081193,2018-12-22,749,1038,108,102,9744.0
3079507,2018-12-22,131,940,148,152,10117.0
3081199,2018-12-22,130,1025,230,97,9740.0
3047705,2018-12-22,583,995,161,168,10828.0
3081194,2018-12-22,252,800,101,107,9745.0
3050338,2018-12-22,989,1237,73,220,9375.0
3047700,2018-12-22,1420,244,167,164,10823.0
3058562,2018-12-22,23826,86,136,123,10485.0
3058561,2018-12-22,15,44,119,122,10484.0
3058564,2018-12-22,24,27,132,117,10487.0
3047703,2018-12-22,162,855,171,169,10826.0
3050337,2018-12-22,11,1132,83,92,9376.0
3058567,2018-12-22,4,60,234,135,10481.0
3081200,2018-12-22,6574,416,104,113,9741.0
3058566,2018-12-22,42,38,128,233,10489.0
3050340,2018-12-22,631,1003,80,75,9373.0
3058563,2018-12-22,79,33,133,124,10486.0
3079505,2018-12-22,621,366,147,231,10119.0
3079506,2018-12-22,13,714,143,141,10118.0
3081196,2018-12-22,398,1390,96,116,9737.0
3081192,2018-12-22,862,46,109,106,9743.0
3047707,2018-12-22,273,1160,163,235,10830.0
3050345,2018-12-22,379,1010,81,90,9368.0
3081197,2018-12-22,5,430,111,110,9738.0
3050339,2018-12-22,603,985,227,89,9374.0
3050342,2018-12-22,1110,180,219,74,9371.0
3081198,2018-12-22,6195,2722,105,221,9739.0
3047706,2018-12-22,1421,1162,177,165,10829.0
3047702,2018-12-22,1082,415,160,174,10825.0
3079508,2018-12-22,150,1533,153,156,10125.0
3047704,2018-12-22,969,1041,166,178,10827.0
3050343,2018-12-22,281,873,88,78,9370.0
3050344,2018-12-22,762,931,86,228,9369.0
3081201,2018-12-22,410,8970,99,112,9742.0
3081195,2018-12-22,506,12,98,95,9746.0
3058559,2018-12-23,533,39,120,125,10482.0
3047701,2018-12-23,40,1416,176,224,10824.0
3079513,2018-12-23,367,3368,145,151,10120.0
3050341,2018-12-23,29,148,72,82,9372.0
3079509,2018-12-23,1244,368,159,138,10124.0
3079512,2018-12-23,1049,5358,146,232,10121.0
3058565,2018-12-23,167,82,121,131,10488.0
3081204,2018-12-26,1390,252,116,101,9749.0
3081210,2018-12-26,2722,410,221,99,9755.0
3081207,2018-12-26,46,6195,106,105,9752.0
3081203,2018-12-26,1025,398,97,96,9748.0
3081205,2018-12-26,430,130,110,230,9750.0
3081206,2018-12-26,8970,5,112,111,9751.0
3050420,2018-12-26,931,543,228,229,9383.0
3050418,2018-12-26,1132,29,92,72,9385.0
3050426,2018-12-26,1010,631,90,80,9377.0
3050423,2018-12-26,985,1110,89,219,9380.0
3081202,2018-12-26,800,506,107,98,9747.0
3081211,2018-12-26,416,749,113,108,9756.0
3050422,2018-12-26,31,762,87,86,9381.0
3081209,2018-12-26,1038,862,102,109,9754.0
3050419,2018-12-26,873,603,78,227,9384.0
3050417,2018-12-26,1237,11,220,83,9386.0
3050421,2018-12-26,1003,281,75,88,9382.0
3081208,2018-12-26,12,6574,95,104,9753.0
3050425,2018-12-26,148,989,82,73,9378.0
3050424,2018-12-27,180,379,74,81,9379.0
3081217,2018-12-29,5,2722,111,221,9762.0
3081215,2018-12-29,506,1038,98,102,9760.0
3050347,2018-12-29,1237,29,220,72,9396.0
3081213,2018-12-29,749,46,108,106,9758.0
3081214,2018-12-29,252,430,101,110,9759.0
3050352,2018-12-29,31,11,87,83,9391.0
3050350,2018-12-29,931,1110,228,219,9393.0
3081220,2018-12-29,6574,800,104,107,9765.0
3081218,2018-12-29,6195,1025,105,97,9763.0
3050351,2018-12-29,1003,603,75,227,9392.0
3081216,2018-12-29,398,416,96,113,9761.0
3081221,2018-12-29,410,1390,99,116,9766.0
3050355,2018-12-29,148,543,82,229,9388.0
3081212,2018-12-29,862,8970,109,112,9757.0
3050356,2018-12-29,1010,762,90,86,9387.0
3081219,2018-12-29,130,12,230,95,9764.0
3050354,2018-12-30,180,281,74,88,9389.0
3050353,2018-12-30,985,989,89,73,9390.0
3050349,2018-12-30,873,631,78,80,9394.0
3050348,2018-12-30,1132,379,92,81,9395.0
3050361,2019-01-01,29,1003,72,75,9402.0
3050357,2019-01-01,11,931,83,228,9406.0
3050359,2019-01-01,603,148,227,82,9404.0
3050365,2019-01-02,379,1237,81,220,9398.0
3050360,2019-01-02,631,180,80,74,9403.0
3050358,2019-01-02,989,1010,73,90,9405.0
3050364,2019-01-02,762,985,86,89,9399.0
3050366,2019-01-02,543,873,229,78,9397.0
3050362,2019-01-02,1110,1132,219,92,9401.0
3079514,2019-01-03,1050,418,154,150,10126.0
3050363,2019-01-03,281,31,88,87,9400.0
3079523,2019-01-04,3368,12321,151,223,10128.0
3079517,2019-01-04,714,1244,141,159,10134.0
3079524,2019-01-05,366,367,231,145,10136.0
3079522,2019-01-05,5358,150,232,153,10129.0
3079515,2019-01-05,1108,1049,158,146,10127.0
3079516,2019-01-06,1533,1050,156,154,10135.0
3079518,2019-01-06,418,681,150,140,10133.0
3079521,2019-01-06,3709,131,142,148,10130.0
3079520,2019-01-06,368,13,138,143,10131.0
3079519,2019-01-07,940,621,152,147,10132.0
3047689,2019-01-08,1416,1420,224,167,10813.0
3047695,2019-01-08,995,969,168,166,10819.0
3047715,2019-01-11,1041,1421,178,177,10834.0
3079531,2019-01-11,367,940,145,152,10139.0
3047712,2019-01-11,1162,1082,165,160,10840.0
3079530,2019-01-12,12321,1108,223,158,10140.0
3079534,2019-01-12,1244,5358,159,232,10141.0
3079529,2019-01-12,1049,366,146,231,10142.0
3047718,2019-01-12,417,40,170,176,10836.0
3050371,2019-01-12,873,1010,78,90,9412.0
3050369,2019-01-12,603,1110,227,219,9414.0
3050368,2019-01-12,1132,931,92,228,9415.0
3050373,2019-01-12,1003,180,75,74,9410.0
3050367,2019-01-12,1237,31,220,87,9416.0
3047711,2019-01-12,1416,583,224,161,10839.0
3079533,2019-01-12,1050,3709,154,142,10137.0
3050376,2019-01-12,379,11,81,83,9407.0
3047714,2019-01-12,855,618,169,175,10833.0
3050370,2019-01-12,631,762,80,86,9413.0
3047720,2019-01-13,415,667,174,225,10838.0
3050372,2019-01-13,29,989,72,73,9411.0
3050375,2019-01-13,148,985,82,89,9408.0
3079526,2019-01-13,13,3368,143,151,10145.0
3079527,2019-01-13,131,1533,148,156,10144.0
3047713,2019-01-13,2969,969,181,166,10841.0
3079528,2019-01-13,150,418,153,150,10143.0
3047716,2019-01-13,244,162,164,171,10842.0
3079525,2019-01-13,621,368,147,138,10146.0
3047717,2019-01-13,995,273,168,163,10835.0
3079532,2019-01-14,681,714,140,141,10138.0
3050374,2019-01-14,281,543,88,229,9409.0
3047651,2019-01-15,1420,40,167,176,10803.0
3047655,2019-01-16,1160,995,235,168,10807.0
