,club_id,name,pretty_name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,url
235,543,wolverhampton-wanderers,Wolverhampton Wanderers,GB1,,24,25.7,23,95.8,12,Molineux Stadium,32050,€-76.80m,Steve Davis,https://www.transfermarkt.co.uk/wolverhampton-wanderers/startseite/verein/543
236,931,fc-fulham,Fc Fulham,GB1,,24,27.6,20,83.3,13,Craven Cottage,22384,€-40.50m,Marco Silva,https://www.transfermarkt.co.uk/fc-fulham/startseite/verein/931
237,1003,leicester-city,Leicester City,GB1,,26,27.3,17,65.4,16,King Power Stadium,32273,+€64.40m,Brendan Rodgers,https://www.transfermarkt.co.uk/leicester-city/startseite/verein/1003
238,2919,ac-monza,Ac Monza,IT1,,37,26.5,10,27.0,6,U-Power Stadium - Brianteo,15039,€-23.90m,Raffaele Palladino,https://www.transfermarkt.co.uk/ac-monza/startseite/verein/2919
239,762,newcastle-united,Newcastle United,GB1,,28,27.6,16,57.1,11,St James' Park,52338,€-134.05m,Eddie Howe,https://www.transfermarkt.co.uk/newcastle-united/startseite/verein/762
241,148,tottenham-hotspur,Tottenham Hotspur,GB1,,25,26.2,17,68.0,18,Tottenham Hotspur Stadium,62062,€-131.15m,Antonio Conte,https://www.transfermarkt.co.uk/tottenham-hotspur/startseite/verein/148
242,11,fc-arsenal,Fc Arsenal,GB1,,23,24.5,16,69.6,18,Emirates Stadium,60704,€-108.26m,Mikel Arteta,https://www.transfermarkt.co.uk/fc-arsenal/startseite/verein/11
243,405,aston-villa,Aston Villa,GB1,,26,27.2,17,65.4,14,Villa Park,42682,€-28.00m,Unai Emery,https://www.transfermarkt.co.uk/aston-villa/startseite/verein/405
244,631,fc-chelsea,Fc Chelsea,GB1,,25,26.6,16,64.0,17,Stamford Bridge,40853,€-225.46m,Graham Potter,https://www.transfermarkt.co.uk/fc-chelsea/startseite/verein/631
245,31,fc-liverpool,Fc Liverpool,GB1,,27,26.8,19,70.4,16,Anfield,54074,€-14.60m,Jürgen Klopp,https://www.transfermarkt.co.uk/fc-liverpool/startseite/verein/31
